292,1297
815,1378
2445,618
2619,649
2692,662
2314,574
2266,593
2353,597
1876,537
1832,543
1170,535
651,589
736,577
535,618
469,666
604,668
390,682
348,689
74,907
668,1183
2100,832
1891,782
1475,510
1210,535
1814,545
774,572
809,579
840,574
871,570
900,566
927,566
963,562
990,560
1015,556
1039,554
1069,554
1100,552
1122,547
1235,535
834,1127
985,1083
1118,1048
1226,1006
1330,977
1423,946
1515,917
1587,888
1660,867
1727,844
1789,826
1853,807
2407,641
2385,649
2351,658
2322,662
2291,672
2266,684
2229,693
2196,703
2160,711
2127,718
2073,730
2050,743
2009,755
1963,770
344,1154
388,1085
415,1025
446,981
467,936
485,896
506,865
516,838
531,813
541,792
550,770
558,755
566,741
570,724
581,709
583,695
641,612
1793,541
1774,539
1749,541
1727,539
1706,531
2202,587
2148,585
2106,581
2069,574
2036,570
2009,570
1986,568
1961,566
612,653
616,649
626,643
628,635
1255,535
1276,531
1299,531
1322,529
1340,529
1363,525
1378,521
1403,521
1432,523
1685,527
1666,529
1652,527
1637,523
1627,527
1612,525
1600,523
1581,518
1556,523
1540,516
1517,518
