255,465
286,461
416,262
426,285
431,291
416,218
406,232
415,240
345,145
332,160
127,121
60,267
58,242
56,290
124,356
135,341
125,370
120,374
208,462
265,457
346,388
331,372
207,9
150,124
325,155
66,232
70,225
76,219
80,211
86,205
91,199
96,192
101,187
106,179
112,172
118,166
124,159
156,120
271,450
276,444
282,437
287,430
291,424
297,418
301,413
306,405
310,400
317,392
322,386
327,379
406,281
399,288
399,288
394,294
389,299
382,307
379,313
374,319
369,326
364,332
358,340
353,345
350,352
345,358
339,365
246,457
239,451
233,444
228,439
223,432
217,428
212,421
206,415
201,410
194,404
188,397
181,392
177,386
170,381
164,374
157,368
71,277
318,148
312,143
306,138
301,131
293,125
396,222
389,217
384,213
377,207
372,201
366,195
361,191
355,189
128,336
123,331
118,327
112,320
160,114
165,108
171,102
176,95
181,88
189,81
196,71
202,59
211,49
285,118
279,112
272,104
266,99
259,93
249,84
243,77
235,68
231,63
222,55
215,42
