--------------------------------
video path: /media/sajjad/1TDrive/TransPlan Project/TransplanDateSet/GX010069.MP4
frame# class# score x1 y1 x2 y2 
--------------------------------
0 2 0.994390070438385 908.426 534.3135 1100.1656 605.9149
0 2 0.9921448826789856 2023.511 539.4549 2144.9666 599.0663
0 9 0.9741467833518982 2220.867 383.72095 2239.371 420.4803
0 2 0.9669306874275208 298.5293 644.8803 541.61884 752.95294
0 9 0.9355838894844055 1983.3356 337.61215 1999.4183 384.33975
0 2 0.9185885190963745 2399.9775 646.5319 2613.9133 746.0002
0 2 0.9176223278045654 1897.1117 467.76758 1983.0068 510.76526
0 2 0.8778157234191895 2023.4977 469.27673 2103.1675 510.5162
0 9 0.8722557425498962 702.8396 394.9279 721.07367 435.8152
0 2 0.8615937829017639 953.1209 465.85297 1011.197 512.3387
0 2 0.8445112705230713 2119.2317 457.00638 2167.3855 488.8534
0 2 0.838229775428772 1211.2888 481.01294 1273.313 524.7863
0 2 0.7810286283493042 1021.57886 455.83005 1101.6174 496.65997
0 2 0.7560023665428162 1647.568 467.65402 1778.0787 527.01794
0 2 0.6348729729652405 859.5631 453.2817 906.4498 485.3509
0 9 0.6174949407577515 338.93756 426.40747 373.4224 497.96143
0 2 0.5563135147094727 2258.8396 512.86707 2349.0405 572.2007
0 2 0.5179510116577148 907.17346 460.67267 950.59515 496.34418
0 2 0.5127324461936951 2432.424 740.3594 2696.2402 979.0637
0 2 0.5025006532669067 898.85254 465.90005 930.83856 493.8539
1 2 0.992676854133606 910.50165 533.51044 1104.8063 606.236
1 2 0.9869662523269653 2029.5938 540.20526 2147.5886 600.49365
1 9 0.9748907089233398 2220.806 383.77322 2239.306 420.56067
1 2 0.9538130164146423 300.10443 643.256 548.0539 751.5824
1 9 0.9327325820922852 1983.3256 337.52386 1999.4237 384.35623
1 2 0.9201099872589111 1896.6218 468.55377 1984.4952 511.6378
1 2 0.9183009266853333 2399.9417 646.1525 2614.1423 746.1783
1 2 0.8648061752319336 1211.8269 480.754 1273.9255 524.7691
1 9 0.8620280623435974 702.7986 394.9252 721.21027 436.03912
1 2 0.8614498376846313 2025.8381 469.74625 2102.8394 510.51303
1 2 0.8578182458877563 953.3098 466.3282 1011.1321 512.4249
1 2 0.7740532755851746 1021.3538 455.81485 1101.7233 496.7594
1 2 0.7567363381385803 2115.5906 457.3226 2165.3616 488.2494
1 2 0.7416908144950867 1646.9789 467.78568 1777.9987 526.85565
1 2 0.6212904453277588 859.2327 453.47348 906.3346 485.51978
1 9 0.6072310209274292 338.86258 426.335 373.77182 498.1676
1 2 0.5285282731056213 899.09686 465.83542 930.89276 493.4438
1 2 0.5193485617637634 907.7534 461.0441 950.31946 496.1199
1 2 0.5148249864578247 2431.8826 740.48865 2696.9214 979.4806
2 2 0.9915504455566406 910.3499 531.1129 1106.3501 604.43134
2 2 0.9877408146858215 2037.4974 539.14435 2154.2056 599.74066
2 9 0.9752508997917175 2220.8271 383.78876 2239.2756 420.5734
2 2 0.9597246646881104 303.6305 641.8656 551.78925 756.95605
2 9 0.9278136491775513 1983.2072 337.46338 1999.5598 384.29892
2 2 0.9186303615570068 2399.063 646.3137 2614.2688 746.265
2 2 0.9181405901908875 1896.3593 468.5002 1984.4277 511.55707
